feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19)",[0.80197374 0.80558933 0.79942268 0.82082622],0.8069529925019616,"('total_charges', 'monthly_charges', 'type_Month-to-month', 'payment_method_Electronic check', 'online_security_No', 'tech_support_No', 'internet_service_Fiber optic', 'online_backup_No', 'type_Two year', 'device_protection_No', 'paperless_billing_No', 'multiple_lines_No', 'paperless_billing_Yes', 'partner_No', 'partner_Yes', 'multiple_lines_Yes', 'dependents_Yes', 'payment_method_Credit card (automatic)', 'payment_method_Bank transfer (automatic)', 'dependents_No')",0.013311126597931185,0.008303981062127196,0.004794305701564691
"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19)",[0.80082386 0.80683614 0.80959499 0.82405007],0.8103262664216273,"('total_charges', 'monthly_charges', 'type_Month-to-month', 'payment_method_Electronic check', 'online_security_No', 'tech_support_No', 'internet_service_Fiber optic', 'online_backup_No', 'type_Two year', 'device_protection_No', 'paperless_billing_No', 'multiple_lines_No', 'paperless_billing_Yes', 'partner_No', 'partner_Yes', 'multiple_lines_Yes', 'dependents_Yes', 'payment_method_Bank transfer (automatic)', 'dependents_No')",0.013680728332882346,0.008534552515638937,0.004927426192317138
"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 18, 19)",[0.79889564 0.81973595 0.80452135 0.82484536],0.8119995783140113,"('total_charges', 'monthly_charges', 'type_Month-to-month', 'payment_method_Electronic check', 'online_security_No', 'tech_support_No', 'internet_service_Fiber optic', 'online_backup_No', 'type_Two year', 'device_protection_No', 'paperless_billing_No', 'multiple_lines_No', 'paperless_billing_Yes', 'partner_Yes', 'multiple_lines_Yes', 'dependents_Yes', 'payment_method_Bank transfer (automatic)', 'dependents_No')",0.017049395207640167,0.010636053521342828,0.006140728363662548
"(0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 14, 15, 16, 18, 19)",[0.80599025 0.82053044 0.80429013 0.81596613],0.8116942377973306,"('total_charges', 'monthly_charges', 'type_Month-to-month', 'payment_method_Electronic check', 'online_security_No', 'tech_support_No', 'internet_service_Fiber optic', 'online_backup_No', 'type_Two year', 'paperless_billing_No', 'multiple_lines_No', 'paperless_billing_Yes', 'partner_Yes', 'multiple_lines_Yes', 'dependents_Yes', 'payment_method_Bank transfer (automatic)', 'dependents_No')",0.010862603473786649,0.006776500311081163,0.0039124142787662925
"(0, 1, 2, 3, 4, 5, 6, 8, 10, 11, 12, 14, 15, 16, 18, 19)",[0.80699915 0.82128675 0.81339175 0.81115758],0.8132088090412833,"('total_charges', 'monthly_charges', 'type_Month-to-month', 'payment_method_Electronic check', 'online_security_No', 'tech_support_No', 'internet_service_Fiber optic', 'type_Two year', 'paperless_billing_No', 'multiple_lines_No', 'paperless_billing_Yes', 'partner_Yes', 'multiple_lines_Yes', 'dependents_Yes', 'payment_method_Bank transfer (automatic)', 'dependents_No')",0.008331418081017799,0.005197451730057804,0.0030007501554489596
"(0, 1, 2, 3, 4, 5, 6, 8, 10, 11, 14, 15, 16, 18, 19)",[0.80592563 0.81574735 0.80953314 0.81520619],0.8116030759999833,"('total_charges', 'monthly_charges', 'type_Month-to-month', 'payment_method_Electronic check', 'online_security_No', 'tech_support_No', 'internet_service_Fiber optic', 'type_Two year', 'paperless_billing_No', 'multiple_lines_No', 'partner_Yes', 'multiple_lines_Yes', 'dependents_Yes', 'payment_method_Bank transfer (automatic)', 'dependents_No')",0.006544573229606723,0.004082750754305448,0.002357177247032398
"(0, 1, 2, 3, 4, 5, 6, 8, 10, 11, 14, 15, 18, 19)",[0.80312362 0.81331835 0.81357585 0.81867305],0.8121727181752956,"('total_charges', 'monthly_charges', 'type_Month-to-month', 'payment_method_Electronic check', 'online_security_No', 'tech_support_No', 'internet_service_Fiber optic', 'type_Two year', 'paperless_billing_No', 'multiple_lines_No', 'partner_Yes', 'multiple_lines_Yes', 'payment_method_Bank transfer (automatic)', 'dependents_No')",0.009047323276979394,0.005644060298146061,0.003258599732457108
"(0, 1, 2, 3, 4, 5, 6, 8, 10, 14, 15, 18, 19)",[0.81122125 0.81854348 0.80934462 0.81460383],0.8134282976473698,"('total_charges', 'monthly_charges', 'type_Month-to-month', 'payment_method_Electronic check', 'online_security_No', 'tech_support_No', 'internet_service_Fiber optic', 'type_Two year', 'paperless_billing_No', 'partner_Yes', 'multiple_lines_Yes', 'payment_method_Bank transfer (automatic)', 'dependents_No')",0.0056158386085043335,0.0035033711917540145,0.00202267230063036
"(0, 1, 2, 4, 5, 6, 8, 10, 14, 15, 18, 19)",[0.81005081 0.81555497 0.80912518 0.81428424],0.8122538014677191,"('total_charges', 'monthly_charges', 'type_Month-to-month', 'online_security_No', 'tech_support_No', 'internet_service_Fiber optic', 'type_Two year', 'paperless_billing_No', 'partner_Yes', 'multiple_lines_Yes', 'payment_method_Bank transfer (automatic)', 'dependents_No')",0.004365130150203968,0.002723132248373917,0.0015722011366376318
"(0, 1, 2, 4, 5, 6, 8, 10, 14, 15, 19)",[0.81772697 0.8016066  0.81101178 0.81493373],0.8113197691006969,"('total_charges', 'monthly_charges', 'type_Month-to-month', 'online_security_No', 'tech_support_No', 'internet_service_Fiber optic', 'type_Two year', 'paperless_billing_No', 'partner_Yes', 'multiple_lines_Yes', 'dependents_No')",0.009768764431154932,0.006094122405033689,0.00351844321102073
