feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
"(2,)",[0.71400417 0.73067671 0.72402062 0.74159057],0.7275730188101321,"('type_Month-to-month',)",0.016086977057742962,0.0100356609075549,0.005794091526472625
"(2, 6)",[0.77455723 0.78451405 0.79126215 0.80265979],0.7882483069622246,"('type_Month-to-month', 'internet_service_Fiber optic')",0.016389738335287687,0.010224534771579872,0.005903137902710328
"(2, 3, 6)",[0.78744383 0.80448498 0.81191163 0.8141458 ],0.8044965604269727,"('type_Month-to-month', 'payment_method_Electronic check', 'internet_service_Fiber optic')",0.01679093353844937,0.010474815417982005,0.0060476375012835535
"(2, 3, 4, 6)",[0.7916909  0.81291156 0.82218409 0.82110751],0.8119735166513518,"('type_Month-to-month', 'payment_method_Electronic check', 'online_security_No', 'internet_service_Fiber optic')",0.019631618565640812,0.012246941503307662,0.007070774973684279
"(2, 3, 4, 6, 7)",[0.79592622 0.8160998  0.82606038 0.82561119],0.8159243996743997,"('type_Month-to-month', 'payment_method_Electronic check', 'online_security_No', 'internet_service_Fiber optic', 'online_backup_No')",0.019575580341878496,0.012211982753163266,0.007050591529877879
"(2, 3, 4, 6, 7, 8)",[0.79824507 0.81937469 0.81777172 0.82508247],0.8151184895669431,"('type_Month-to-month', 'payment_method_Electronic check', 'online_security_No', 'internet_service_Fiber optic', 'online_backup_No', 'type_Two year')",0.01621207899058649,0.01011370419514031,0.005839149839568505
"(2, 3, 4, 6, 7, 8, 15)",[0.7979778  0.81851705 0.81401767 0.82301915],0.813382916053019,"('type_Month-to-month', 'payment_method_Electronic check', 'online_security_No', 'internet_service_Fiber optic', 'online_backup_No', 'type_Two year', 'multiple_lines_Yes')",0.015142382073600035,0.009446387054436988,0.005453874108748592
"(2, 3, 4, 6, 7, 8, 11, 15)",[0.79249714 0.81407907 0.81351694 0.82502798],0.8112802806204867,"('type_Month-to-month', 'payment_method_Electronic check', 'online_security_No', 'internet_service_Fiber optic', 'online_backup_No', 'type_Two year', 'multiple_lines_No', 'multiple_lines_Yes')",0.01887577132238769,0.011775415584922178,0.006798539357774533
"(2, 3, 4, 6, 7, 8, 11, 15, 18)",[0.78440832 0.80531912 0.80817968 0.82059941],0.8046266306240533,"('type_Month-to-month', 'payment_method_Electronic check', 'online_security_No', 'internet_service_Fiber optic', 'online_backup_No', 'type_Two year', 'multiple_lines_No', 'multiple_lines_Yes', 'payment_method_Bank transfer (automatic)')",0.02085437352976944,0.013009742006408899,0.00751117804948776
"(2, 3, 4, 6, 7, 8, 11, 15, 17, 18)",[0.78036978 0.80194143 0.8074433  0.81342268],0.8007942990571857,"('type_Month-to-month', 'payment_method_Electronic check', 'online_security_No', 'internet_service_Fiber optic', 'online_backup_No', 'type_Two year', 'multiple_lines_No', 'multiple_lines_Yes', 'payment_method_Credit card (automatic)', 'payment_method_Bank transfer (automatic)')",0.019991722114072654,0.012471587631085277,0.007200474476029091
